lower Consommation,upper Consommation
84607142.73444207,103530448.00234804
92781460.53547566,114983639.48464842
80717348.64694498,100300292.59928952
78637850.0709877,97718846.99963461
66401029.62586201,82515000.2502251
62302468.192580365,77423844.33523898
57663300.125554,71660586.73816669
61190108.27617523,76045491.75109985
56105953.92283194,69728863.27021973
57176487.964853205,71061192.69887702
64543174.66977705,80218903.42849381
77712666.53160423,96589426.72421694
83373709.93820615,103628278.27310772
86995124.00751553,113172614.16885751
80712103.5297175,105902316.53587773
78464340.82030891,102958285.10873981
63619505.94025894,83483650.89879037
59665739.87468481,78299382.84508692
55879463.70144354,73334392.9200614
59277302.49602922,77797575.54618192
54738169.39634836,71843925.68405055
55596227.43368097,72973849.94517523
62847105.60424225,82495330.0195733
75203835.23226821,98720242.76508485
81017608.91275984,106357417.94244875
